epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,406.14,1.44205,1.24984,1.4175,0.43749,0.84279,0.50029,0.27049,1.73589,1.19865,1.69076,0.00121591,0.00121591,0.00121591
43,412.494,1.44731,1.24538,1.43048,0.42681,0.91732,0.56156,0.30779,1.65014,1.20457,1.66597,0.00120491,0.00120491,0.00120491
44,419.27,1.40695,1.24254,1.43703,0.48314,0.82821,0.52048,0.29251,1.61423,1.18565,1.57697,0.00119391,0.00119391,0.00119391
45,426.072,1.42281,1.23132,1.43747,0.44394,0.83939,0.54234,0.28027,1.68618,1.19386,1.69831,0.0011829,0.0011829,0.0011829
46,432.776,1.43078,1.24517,1.44645,0.50399,0.81752,0.60958,0.30404,1.666,1.18313,1.64323,0.0011719,0.0011719,0.0011719
47,439.493,1.47656,1.25831,1.4746,0.45813,0.92886,0.55233,0.29262,1.48721,1.12424,1.54777,0.0011609,0.0011609,0.0011609
48,446.191,1.36994,1.20617,1.39103,0.45871,0.84189,0.59976,0.33361,1.6522,1.12468,1.62468,0.0011499,0.0011499,0.0011499
49,453.318,1.3532,1.20949,1.38548,0.45885,0.80449,0.58715,0.32904,1.76812,1.15475,1.73816,0.00113889,0.00113889,0.00113889
50,459.752,1.36349,1.17087,1.38657,0.43526,0.91747,0.60215,0.34641,1.62622,1.11762,1.63831,0.00112789,0.00112789,0.00112789
51,466.963,1.44978,1.2299,1.44839,0.4234,0.79595,0.557,0.29694,1.78303,1.21679,1.71974,0.00111689,0.00111689,0.00111689
52,473.646,1.3656,1.21448,1.39254,0.47495,0.86785,0.53297,0.2974,1.55844,1.18485,1.56165,0.00110589,0.00110589,0.00110589
53,480.337,1.38808,1.19475,1.40335,0.42075,0.85694,0.49519,0.26233,1.63434,1.23605,1.64007,0.00109489,0.00109489,0.00109489
54,486.768,1.39377,1.19229,1.4268,0.46486,0.72432,0.58339,0.32419,1.63126,1.19623,1.62768,0.00108388,0.00108388,0.00108388
55,493.229,1.35224,1.13113,1.38506,0.49686,0.81577,0.615,0.32661,1.71509,1.17434,1.62893,0.00107288,0.00107288,0.00107288
56,499.901,1.33088,1.1434,1.36316,0.53168,0.77724,0.61008,0.32364,1.70282,1.15887,1.73076,0.00106188,0.00106188,0.00106188
57,506.64,1.38586,1.20366,1.40513,0.49696,0.77544,0.60377,0.32736,1.66442,1.16432,1.7037,0.00105088,0.00105088,0.00105088
58,513.35,1.34589,1.15359,1.39047,0.4888,0.69142,0.53397,0.28007,1.80005,1.29923,1.76763,0.00103987,0.00103987,0.00103987
59,520.007,1.35714,1.14133,1.37688,0.45579,0.8491,0.52542,0.26099,1.66745,1.22471,1.64066,0.00102887,0.00102887,0.00102887
60,526.62,1.32979,1.13758,1.37696,0.51216,0.68756,0.56928,0.31043,1.61756,1.25329,1.6109,0.00101787,0.00101787,0.00101787
61,533.182,1.27912,1.14196,1.36992,0.45945,0.77117,0.57253,0.30322,1.68772,1.17098,1.69599,0.00100687,0.00100687,0.00100687
62,539.87,1.31214,1.12606,1.37599,0.52011,0.79505,0.62745,0.3487,1.5864,1.16171,1.58791,0.000995866,0.000995866,0.000995866
63,546.862,1.33595,1.14138,1.40123,0.50573,0.89131,0.64137,0.35375,1.58644,1.12121,1.61192,0.000984864,0.000984864,0.000984864
64,554.258,1.30028,1.08173,1.37194,0.52022,0.76794,0.62319,0.33505,1.63733,1.17093,1.65798,0.000973861,0.000973861,0.000973861
65,560.959,1.30211,1.10612,1.37241,0.45687,0.78243,0.56528,0.31896,1.63947,1.32042,1.69667,0.000962859,0.000962859,0.000962859
66,567.797,1.30594,1.09355,1.36774,0.5244,0.81128,0.67325,0.3445,1.72233,1.14659,1.76245,0.000951857,0.000951857,0.000951857
67,574.37,1.25406,1.03082,1.3423,0.52827,0.85018,0.6501,0.34035,1.71556,1.13623,1.74379,0.000940855,0.000940855,0.000940855
68,581.065,1.23494,1.00748,1.347,0.59312,0.65045,0.68157,0.3734,1.62915,1.0863,1.68774,0.000929853,0.000929853,0.000929853
69,588.266,1.28764,1.02131,1.37234,0.5823,0.70135,0.67229,0.36484,1.64959,1.10419,1.70366,0.00091885,0.00091885,0.00091885
70,594.995,1.27314,1.02245,1.3385,0.48308,0.86267,0.65373,0.3786,1.57704,1.2535,1.67299,0.000907848,0.000907848,0.000907848
71,602.101,1.28945,1.07123,1.37822,0.5492,0.79276,0.70604,0.37438,1.73134,1.11608,1.76377,0.000896846,0.000896846,0.000896846
72,609.122,1.24244,1.01404,1.33199,0.65395,0.78979,0.74561,0.40162,1.68094,1.0723,1.71245,0.000885844,0.000885844,0.000885844
73,616.374,1.26328,1.00282,1.32292,0.61867,0.63063,0.71573,0.41203,1.59888,1.07732,1.65997,0.000874842,0.000874842,0.000874842
74,623.496,1.2683,1.01904,1.3444,0.52975,0.81171,0.68687,0.38652,1.54955,1.141,1.60223,0.000863839,0.000863839,0.000863839
75,630.221,1.22066,1.00492,1.31611,0.54621,0.73693,0.63803,0.34475,1.60606,1.15919,1.6746,0.000852837,0.000852837,0.000852837
76,636.984,1.2793,1.00139,1.35325,0.58673,0.72748,0.70484,0.38898,1.63804,1.12197,1.65367,0.000841835,0.000841835,0.000841835
77,643.759,1.1783,0.95826,1.28713,0.56757,0.7045,0.67859,0.37578,1.64934,1.13427,1.66096,0.000830833,0.000830833,0.000830833
78,650.446,1.22471,0.94361,1.30842,0.58785,0.77295,0.70422,0.36715,1.71992,1.14074,1.71041,0.000819831,0.000819831,0.000819831
79,656.925,1.21596,0.92645,1.31273,0.60489,0.75215,0.68501,0.38769,1.66218,1.16531,1.69131,0.000808828,0.000808828,0.000808828
80,663.661,1.21814,0.93949,1.30981,0.62618,0.70911,0.70155,0.40009,1.59547,1.07347,1.64112,0.000797826,0.000797826,0.000797826
81,670.399,1.12181,0.87225,1.26121,0.53803,0.82958,0.67701,0.39581,1.59908,1.21093,1.68587,0.000786824,0.000786824,0.000786824
82,677.104,1.19709,0.90819,1.3273,0.57381,0.86577,0.74938,0.43384,1.61783,1.11833,1.71613,0.000775822,0.000775822,0.000775822
83,684.003,1.18611,0.88716,1.31114,0.51853,0.82928,0.69201,0.39492,1.60185,1.09277,1.69352,0.00076482,0.00076482,0.00076482
84,690.194,1.17883,0.91934,1.29936,0.75367,0.59324,0.74434,0.41599,1.59297,1.04049,1.66518,0.000753817,0.000753817,0.000753817
85,696.14,1.17436,0.8597,1.29241,0.57375,0.86763,0.7542,0.41747,1.59071,1.04838,1.61499,0.000742815,0.000742815,0.000742815
86,702.537,1.19229,0.91107,1.30646,0.65645,0.80533,0.78572,0.44233,1.59757,1.05413,1.6548,0.000731813,0.000731813,0.000731813
87,709.45,1.16043,0.87354,1.29687,0.66595,0.64614,0.74397,0.41339,1.65786,1.2196,1.68763,0.000720811,0.000720811,0.000720811
88,715.463,1.15205,0.83153,1.27444,0.62453,0.76261,0.7369,0.42838,1.60397,1.13233,1.6343,0.000709809,0.000709809,0.000709809
89,721.463,1.12285,0.85311,1.25479,0.70783,0.68866,0.73284,0.43651,1.57815,1.04412,1.64677,0.000698806,0.000698806,0.000698806
90,727.559,1.12808,0.85958,1.2753,0.56712,0.86138,0.69895,0.39237,1.61603,1.11789,1.67259,0.000687804,0.000687804,0.000687804
91,733.774,1.13937,0.9059,1.27991,0.62609,0.69505,0.70518,0.38474,1.65138,1.14181,1.70167,0.000676802,0.000676802,0.000676802
92,740.35,1.08862,0.8092,1.23842,0.56203,0.78243,0.63385,0.36105,1.62903,1.26874,1.68981,0.0006658,0.0006658,0.0006658
93,746.705,1.12865,0.80886,1.27145,0.71233,0.70135,0.70573,0.4069,1.5751,1.20228,1.63797,0.000654798,0.000654798,0.000654798
94,752.629,1.13797,0.81675,1.26879,0.72427,0.66712,0.72932,0.42533,1.59869,1.15322,1.65233,0.000643795,0.000643795,0.000643795
